,Spacecraft,Start,Stop,Created
111007AP_PE_11280_11296.bsp,CASSINI,2011-10-07 10:23:40.000,2011-10-23 11:58:55.000,2011-10-07 10:25:50.000
111007AP_SE_11280_11296.bsp,CASSINI,2011-10-07 10:23:40.000,2011-10-23 11:58:55.000,2011-10-07 10:25:50.000
111007BP_SCPSE_11280_11296.bsp,CASSINI,2011-10-07 10:23:40.000,2011-10-23 11:58:55.000,2011-10-07 10:25:49.000
111007BP_SK_11280_11296.bsp,CASSINI,2011-10-07 10:23:40.000,2011-10-23 11:58:55.000,2011-10-07 10:25:50.000
111010AP_PE_11283_11296.bsp,CASSINI,2011-10-07 13:59:55.000,2011-10-23 11:58:55.000,2011-10-10 10:28:12.000
111010AP_SE_11283_11296.bsp,CASSINI,2011-10-07 13:59:55.000,2011-10-23 11:58:55.000,2011-10-10 10:28:12.000
111010BP_SCPSE_11283_11296.bsp,CASSINI,2011-10-07 13:59:55.000,2011-10-23 11:58:55.000,2011-10-10 10:28:11.000
111010BP_SK_11283_11296.bsp,CASSINI,2011-10-07 13:59:55.000,2011-10-23 11:58:55.000,2011-10-10 10:28:11.000
111010R_SCPSE_11150_11246.bsp,CASSINI,2011-05-30 11:58:55.000,2011-09-03 05:58:55.000,2011-10-10 10:06:46.000
111014R_SCPSE_11246_11267.bsp,CASSINI,2011-09-03 05:58:55.000,2011-09-24 05:58:55.000,2011-10-14 13:37:35.000
111019AP_PE_11291_11314.bsp,CASSINI,2011-10-18 09:22:12.000,2011-11-10 04:58:55.000,2011-10-19 16:25:56.000
111019AP_SE_11291_11314.bsp,CASSINI,2011-10-18 09:22:12.000,2011-11-10 04:58:55.000,2011-10-19 16:25:57.000
111019BP_SCPSE_11291_11314.bsp,CASSINI,2011-10-18 09:22:12.000,2011-11-10 04:58:55.000,2011-10-19 16:25:55.000
111019BP_SK_11291_11314.bsp,CASSINI,2011-10-18 09:22:12.000,2011-11-10 04:58:55.000,2011-10-19 16:25:56.000
111027AP_PE_11300_11314.bsp,CASSINI,2011-10-25 23:15:55.000,2011-11-10 04:58:55.000,2011-10-27 11:18:31.000
111027AP_SCPSE_11300_11314.bsp,CASSINI,2011-10-25 23:15:55.000,2011-11-10 04:58:55.000,2011-10-27 11:18:29.000
111027AP_SE_11300_11314.bsp,CASSINI,2011-10-25 23:15:55.000,2011-11-10 04:58:55.000,2011-10-27 11:18:31.000
111027AP_SK_11300_11314.bsp,CASSINI,2011-10-25 23:15:55.000,2011-11-10 04:58:55.000,2011-10-27 11:18:29.000
111031AP_PE_11304_11314.bsp,CASSINI,2011-10-31 10:36:57.000,2011-11-10 04:58:55.000,2011-10-31 10:39:24.000
111031AP_SE_11304_11314.bsp,CASSINI,2011-10-31 10:36:57.000,2011-11-10 04:58:55.000,2011-10-31 10:39:24.000
111031BP_SCPSE_11304_11314.bsp,CASSINI,2011-10-31 10:36:57.000,2011-11-10 04:58:55.000,2011-10-31 10:39:23.000
111031BP_SK_11304_11314.bsp,CASSINI,2011-10-31 10:36:57.000,2011-11-10 04:58:55.000,2011-10-31 10:39:23.000
111107AP_PE_11309_11352.bsp,CASSINI,2011-11-05 04:58:54.000,2011-12-18 11:58:55.000,2011-11-07 19:02:02.000
111107AP_SCPSE_11309_11352.bsp,CASSINI,2011-11-05 04:58:54.000,2011-12-18 11:58:55.000,2011-11-07 19:01:57.000
111107AP_SE_11309_11352.bsp,CASSINI,2011-11-05 04:58:54.000,2011-12-18 11:58:55.000,2011-11-07 19:02:02.000
111107AP_SK_11309_11352.bsp,CASSINI,2011-11-05 04:58:54.000,2011-12-18 11:58:55.000,2011-11-07 19:01:59.000
111116AP_PE_11324_11349.bsp,CASSINI,2011-11-20 11:58:55.000,2011-12-15 11:58:55.000,2011-11-16 10:20:30.000
111116AP_SCPSE_11324_11349.bsp,CASSINI,2011-11-20 11:58:55.000,2011-12-15 11:58:55.000,2011-11-16 10:20:28.000
111116AP_SE_11324_11349.bsp,CASSINI,2011-11-20 11:58:55.000,2011-12-15 11:58:55.000,2011-11-16 10:20:30.000
111116AP_SK_11324_11349.bsp,CASSINI,2011-11-20 11:58:55.000,2011-12-15 11:58:55.000,2011-11-16 10:20:29.000
111123R_SCPSE_11267_11303.bsp,CASSINI,2011-09-24 05:58:55.000,2011-10-30 05:58:55.000,2011-11-23 17:11:33.000
111129AP_PE_11324_11352.bsp,CASSINI,2011-11-20 11:58:55.000,2011-12-18 11:58:55.000,2011-11-29 11:28:05.000
111129AP_SCPSE_11324_11352.bsp,CASSINI,2011-11-20 11:58:55.000,2011-12-18 11:58:55.000,2011-11-29 11:28:03.000
111129AP_SE_11324_11352.bsp,CASSINI,2011-11-20 11:58:55.000,2011-12-18 11:58:55.000,2011-11-29 11:28:05.000
111129AP_SK_11324_11352.bsp,CASSINI,2011-11-20 11:58:55.000,2011-12-18 11:58:55.000,2011-11-29 11:28:03.000
111208AP_PE_11342_11349.bsp,CASSINI,2011-12-06 20:47:55.000,2011-12-15 11:58:55.000,2011-12-08 11:20:44.000
111208AP_SCPSE_11342_11349.bsp,CASSINI,2011-12-06 20:47:55.000,2011-12-15 11:58:55.000,2011-12-08 11:20:43.000
111208AP_SE_11342_11349.bsp,CASSINI,2011-12-06 20:47:55.000,2011-12-15 11:58:55.000,2011-12-08 11:20:44.000
111208AP_SK_11342_11349.bsp,CASSINI,2011-12-06 20:47:55.000,2011-12-15 11:58:55.000,2011-12-08 11:20:43.000
111215AP_PE_11345_12006.bsp,CASSINI,2011-12-11 02:00:20.000,2012-01-06 14:58:55.000,2011-12-15 11:42:05.000
111215AP_SCPSE_11345_12006.bsp,CASSINI,2011-12-11 02:00:20.000,2012-01-06 14:58:55.000,2011-12-15 11:42:02.000
111215AP_SE_11345_12006.bsp,CASSINI,2011-12-11 02:00:20.000,2012-01-06 14:58:55.000,2011-12-15 11:42:05.000
111215AP_SK_11345_12006.bsp,CASSINI,2011-12-11 02:00:20.000,2012-01-06 14:58:55.000,2011-12-15 11:42:03.000
111221AP_PE_11355_12006.bsp,CASSINI,2011-12-20 09:49:55.000,2012-01-06 14:58:55.000,2011-12-21 10:21:00.000
111221AP_SCPSE_11355_12006.bsp,CASSINI,2011-12-20 09:49:55.000,2012-01-06 14:58:55.000,2011-12-21 10:20:59.000
111221AP_SE_11355_12006.bsp,CASSINI,2011-12-20 09:49:55.000,2012-01-06 14:58:55.000,2011-12-21 10:21:00.000
111221AP_SK_11355_12006.bsp,CASSINI,2011-12-20 09:49:55.000,2012-01-06 14:58:55.000,2011-12-21 10:20:59.000
120104AP_PE_12001_12034.bsp,CASSINI,2012-01-01 15:13:39.000,2012-02-03 11:58:55.000,2012-01-04 11:38:01.000
120104AP_SE_12001_12034.bsp,CASSINI,2012-01-01 15:13:39.000,2012-02-03 11:58:55.000,2012-01-04 11:38:01.000
120104BP_SCPSE_12001_12034.bsp,CASSINI,2012-01-01 15:13:39.000,2012-02-03 11:58:55.000,2012-01-04 11:38:00.000
120104BP_SK_12001_12034.bsp,CASSINI,2012-01-01 15:13:39.000,2012-02-03 11:58:55.000,2012-01-04 11:38:01.000
120112AP_PE_12012_12035.bsp,CASSINI,2012-01-12 11:58:55.000,2012-02-04 11:58:55.000,2012-01-12 10:29:55.000
120112AP_SCPSE_12012_12035.bsp,CASSINI,2012-01-12 11:58:55.000,2012-02-04 11:58:55.000,2012-01-12 10:29:54.000
120112AP_SE_12012_12035.bsp,CASSINI,2012-01-12 11:58:55.000,2012-02-04 11:58:55.000,2012-01-12 10:29:55.000
120112AP_SK_12012_12035.bsp,CASSINI,2012-01-12 11:58:55.000,2012-02-04 11:58:55.000,2012-01-12 10:29:55.000
120117R_SCPSE_11303_11337.bsp,CASSINI,2011-10-30 05:58:55.000,2011-12-03 11:58:55.000,2012-01-17 12:11:55.000
120119R_SCPSE_11337_11357.bsp,CASSINI,2011-12-03 11:58:55.000,2011-12-23 17:58:55.000,2012-01-19 10:14:28.000
120201AP_PE_12029_12055.bsp,CASSINI,2012-01-29 18:30:00.000,2012-02-24 18:30:00.000,2012-02-01 11:00:37.000
120201AP_SCPSE_12029_12055.bsp,CASSINI,2012-01-29 18:30:00.000,2012-02-24 18:30:00.000,2012-02-01 11:00:36.000
120201AP_SE_12029_12055.bsp,CASSINI,2012-01-29 18:30:00.000,2012-02-24 18:30:00.000,2012-02-01 11:00:37.000
120201AP_SK_12029_12055.bsp,CASSINI,2012-01-29 18:30:00.000,2012-02-24 18:30:00.000,2012-02-01 11:00:36.000
120208AP_PE_12039_12055.bsp,CASSINI,2012-02-08 11:58:55.000,2012-02-24 11:58:55.000,2012-02-08 10:32:25.000
120208AP_SE_12039_12055.bsp,CASSINI,2012-02-08 11:58:55.000,2012-02-24 11:58:55.000,2012-02-08 10:32:25.000
120208BP_SCPSE_12039_12055.bsp,CASSINI,2012-02-08 11:58:55.000,2012-02-24 11:58:55.000,2012-02-08 10:32:25.000
120208BP_SK_12039_12055.bsp,CASSINI,2012-02-08 11:58:55.000,2012-02-24 11:58:55.000,2012-02-08 10:32:25.000
120215AP_PE_12044_12055.bsp,CASSINI,2012-02-13 11:58:55.000,2012-02-24 11:58:55.000,2012-02-15 09:25:13.000
120215AP_SCPSE_12044_12055.bsp,CASSINI,2012-02-13 11:58:55.000,2012-02-24 11:58:55.000,2012-02-15 09:25:13.000
120215AP_SE_12044_12055.bsp,CASSINI,2012-02-13 11:58:55.000,2012-02-24 11:58:55.000,2012-02-15 09:25:13.000
120215AP_SK_12044_12055.bsp,CASSINI,2012-02-13 11:58:55.000,2012-02-24 11:58:55.000,2012-02-15 09:25:13.000
120222AP_PE_12049_12093.bsp,CASSINI,2012-02-18 08:43:18.000,2012-04-02 08:43:18.000,2012-02-22 08:24:23.000
120222AP_SE_12049_12093.bsp,CASSINI,2012-02-18 08:43:18.000,2012-04-02 08:43:18.000,2012-02-22 08:24:23.000
120222CP_SCPSE_12049_12093.bsp,CASSINI,2012-02-18 08:43:18.000,2012-04-02 08:43:18.000,2012-02-22 08:24:22.000
120222CP_SK_12049_12093.bsp,CASSINI,2012-02-18 08:43:18.000,2012-04-02 08:43:18.000,2012-02-22 08:24:22.000
120227R_SCPSE_11357_12016.bsp,CASSINI,2011-12-23 17:58:55.000,2012-01-16 15:58:55.000,2012-02-28 09:02:31.000
120302AP_PE_12061_12093.bsp,CASSINI,2012-03-01 11:58:55.000,2012-04-02 11:58:55.000,2012-03-02 11:27:19.000
120302AP_SCPSE_12061_12093.bsp,CASSINI,2012-03-01 11:58:55.000,2012-04-02 11:58:55.000,2012-03-02 11:27:19.000
120302AP_SE_12061_12093.bsp,CASSINI,2012-03-01 11:58:55.000,2012-04-02 11:58:55.000,2012-03-02 11:27:19.000
120302AP_SK_12061_12093.bsp,CASSINI,2012-03-01 11:58:55.000,2012-04-02 11:58:55.000,2012-03-02 11:27:19.000
120308AP_RE_90165_18018.bsp,CASSINI-SUPER,2090-06-15 00:00:00.000,2018-01-19 00:00:00.000,2012-03-08 00:00:00.000
120312R_SCPSE_12016_12042.bsp,CASSINI,2012-01-16 15:58:55.000,2012-02-11 17:58:55.000,2012-03-16 12:11:31.000
120314AP_PE_12074_12094.bsp,CASSINI,2012-03-14 11:58:55.000,2012-04-03 11:58:55.000,2012-03-14 17:18:53.000
120314AP_SCPSE_12074_12094.bsp,CASSINI,2012-03-14 11:58:55.000,2012-04-03 11:58:55.000,2012-03-14 17:18:52.000
120314AP_SE_12074_12094.bsp,CASSINI,2012-03-14 11:58:55.000,2012-04-03 11:58:55.000,2012-03-14 17:18:53.000
120314AP_SK_12074_12094.bsp,CASSINI,2012-03-14 11:58:55.000,2012-04-03 11:58:55.000,2012-03-14 17:18:53.000
120322AP_PE_12074_12094.bsp,CASSINI,2012-03-14 11:58:55.000,2012-04-03 11:58:55.000,2012-03-22 10:47:07.000
120322AP_SCPSE_12074_12094.bsp,CASSINI,2012-03-14 11:58:55.000,2012-04-03 11:58:55.000,2012-03-22 10:47:07.000
120322AP_SE_12074_12094.bsp,CASSINI,2012-03-14 11:58:55.000,2012-04-03 11:58:55.000,2012-03-22 10:47:07.000
120322AP_SK_12074_12094.bsp,CASSINI,2012-03-14 11:58:55.000,2012-04-03 11:58:55.000,2012-03-22 10:47:07.000
120329AP_PE_12086_12110.bsp,CASSINI,2012-03-26 18:31:10.000,2012-04-19 18:31:10.000,2012-03-29 12:00:57.000
120329AP_SCPSE_12086_12110.bsp,CASSINI,2012-03-26 18:31:10.000,2012-04-19 18:31:10.000,2012-03-29 12:00:56.000
120329AP_SE_12086_12110.bsp,CASSINI,2012-03-26 18:31:10.000,2012-04-19 18:31:10.000,2012-03-29 12:00:57.000
120329AP_SK_12086_12110.bsp,CASSINI,2012-03-26 18:31:10.000,2012-04-19 18:31:10.000,2012-03-29 12:00:56.000
120402AP_PE_12093_12110.bsp,CASSINI,2012-04-02 11:58:55.000,2012-04-19 11:58:55.000,2012-04-02 14:48:41.000
120402AP_SE_12093_12110.bsp,CASSINI,2012-04-02 11:58:55.000,2012-04-19 11:58:55.000,2012-04-02 14:48:41.000
120402BP_SCPSE_12093_12110.bsp,CASSINI,2012-04-02 11:58:55.000,2012-04-19 11:58:55.000,2012-04-02 14:48:41.000
120402BP_SK_12093_12110.bsp,CASSINI,2012-04-02 11:58:55.000,2012-04-19 11:58:55.000,2012-04-02 14:48:41.000
120410AP_PE_12100_12110.bsp,CASSINI,2012-04-09 11:58:55.000,2012-04-19 11:58:55.000,2012-04-10 11:27:46.000
120410AP_SCPSE_12100_12110.bsp,CASSINI,2012-04-09 11:58:55.000,2012-04-19 11:58:55.000,2012-04-10 11:27:45.000
120410AP_SE_12100_12110.bsp,CASSINI,2012-04-09 11:58:55.000,2012-04-19 11:58:55.000,2012-04-10 11:27:46.000
120410AP_SK_12100_12110.bsp,CASSINI,2012-04-09 11:58:55.000,2012-04-19 11:58:55.000,2012-04-10 11:27:46.000
120415AP_PE_12104_12129.bsp,CASSINI,2012-04-13 14:01:38.000,2012-05-08 14:01:38.000,2012-04-15 16:21:47.000
120415AP_SE_12104_12129.bsp,CASSINI,2012-04-13 14:01:38.000,2012-05-08 14:01:38.000,2012-04-15 16:21:47.000
120415BP_SCPSE_12104_12129.bsp,CASSINI,2012-04-13 14:01:38.000,2012-05-08 14:01:38.000,2012-04-15 16:21:48.000
